idCliente,idServidor,velocidad,distancia
0,2,900,4
1,2,600,8
3,6,300,9
4,6,300,4
5,6,600,4
7,16,300,1
8,16,600,1
9,16,900,8
10,16,300,10
11,16,300,10
12,16,600,8
13,16,900,7
14,16,600,6
15,16,900,2
19,25,300,3
20,25,600,4
21,25,900,1
22,25,300,3
23,25,900,7
24,25,300,9
27,29,600,7
28,29,600,7
30,36,600,4
31,36,300,1
32,36,900,10
33,36,300,8
34,36,900,10
35,36,900,6
38,46,300,10
39,46,900,6
40,46,600,4
41,46,900,4
42,46,600,10
43,46,900,1
44,46,300,3
45,46,300,8
47,50,900,7
48,50,900,10
49,50,600,9
51,52,300,6
53,54,900,8
55,58,300,4
56,58,600,9
57,58,600,4
60,62,600,8
61,62,600,6
63,73,900,10
64,73,900,1
65,73,300,8
66,73,300,8
67,73,600,2
68,73,900,2
69,73,300,7
70,73,600,5
71,73,300,2
72,73,300,9
74,85,900,1
75,85,300,3
76,85,300,3
77,85,900,6
78,85,300,5
79,85,600,8
80,85,300,1
81,85,600,6
82,85,300,2
83,85,900,9
84,85,300,7
86,95,300,7
87,95,900,4
88,95,900,10
89,95,300,1
90,95,300,8
91,95,300,1
92,95,900,8
93,95,300,5
94,95,900,10
96,99,600,6
97,99,300,4
98,99,300,6
100,119,900,6
101,119,600,2
102,119,600,8
103,119,900,8
104,119,300,8
105,119,300,4
106,119,300,10
107,119,600,6
108,119,300,8
109,119,900,2
110,119,600,8
111,119,300,6
112,119,300,3
113,119,900,9
114,119,300,2
115,119,900,7
116,119,900,5
117,119,900,2
118,119,300,10
120,130,300,1
121,130,900,9
122,130,900,3
123,130,300,8
124,130,900,8
125,130,900,4
126,130,600,8
127,130,600,1
128,130,600,2
129,130,600,8
131,134,600,2
132,134,300,4
133,134,600,4
135,137,900,5
136,137,600,4
138,141,300,3
139,141,300,6
140,141,300,8
143,144,600,9
146,147,900,4
148,149,900,7
150,151,900,4
152,154,900,3
153,154,900,8
155,160,900,5
156,160,300,3
157,160,600,3
158,160,900,9
159,160,300,3
161,162,900,1
164,169,900,10
165,169,300,2
166,169,300,2
167,169,300,9
168,169,600,2
171,177,300,8
172,177,900,6
173,177,600,2
174,177,900,6
175,177,300,2
176,177,600,2
178,179,600,1
182,189,300,2
183,189,300,10
184,189,600,8
185,189,600,6
186,189,600,9
187,189,300,4
188,189,900,1
190,191,900,7
194,200,600,3
195,200,900,1
196,200,300,5
197,200,600,8
198,200,900,8
199,200,600,9
201,206,300,1
202,206,900,6
203,206,600,5
204,206,300,5
205,206,900,10
208,217,600,8
209,217,600,8
210,217,300,6
211,217,300,4
212,217,900,6
213,217,900,2
214,217,300,10
215,217,300,6
216,217,900,7
218,219,900,7
221,227,300,4
222,227,600,4
223,227,900,5
224,227,600,7
225,227,600,5
226,227,300,10
228,229,900,1
230,232,600,1
231,232,300,5
233,237,600,3
234,237,300,9
235,237,600,5
236,237,600,1
238,239,300,1
240,242,300,8
241,242,900,1
243,247,600,9
244,247,600,4
245,247,600,5
246,247,600,1
249,250,900,3
252,268,600,1
253,268,900,8
254,268,600,5
255,268,300,2
256,268,300,4
257,268,900,2
258,268,300,9
259,268,300,4
260,268,900,6
261,268,300,10
262,268,600,7
263,268,900,10
264,268,300,6
265,268,900,6
266,268,900,10
267,268,900,9
269,282,300,2
270,282,600,2
271,282,600,2
272,282,300,7
273,282,600,5
274,282,900,7
